Seed: 1951601864
Researcher: 150
Papers: 600
Edges: 1095
RDensity: 0.3
minScore: 0
maxScore: 10
maxResearcherForPaper: 7
maxPaperForResearcher: 15
ToAssign: 375
0 119 3.81
0 171 5.41
0 256 4.28
0 314 3.52
0 384 1.91
0 476 8.62
0 483 5.12
0 579 5
1 0 2.62
1 30 3.71
1 48 7.64
1 67 4.6
1 391 2.58
1 414 5.63
2 177 5.97
2 188 2.04
2 211 1.28
2 218 7.97
2 465 4.24
2 540 8.31
2 574 3.49
2 587 6.56
3 166 4.72
3 272 3.1
3 410 2.91
4 14 1.3
4 350 5.46
4 448 4.18
4 452 4.23
5 113 9.35
5 180 5.17
5 204 2.47
5 216 3.83
5 233 7.68
5 307 3.95
5 405 4.48
5 416 8.03
5 449 0
6 17 5.07
6 25 4.9
6 77 2.76
6 85 1.3
6 269 3.32
6 334 5.83
6 410 2.59
6 481 3.91
6 492 5.46
6 576 5.01
7 384 2.74
7 463 7.74
7 526 3.44
7 566 4.62
7 595 4.97
8 9 6.16
8 61 6.09
8 134 4.24
8 201 4.82
8 326 5.25
8 373 2.48
8 382 3.15
8 500 2
8 528 5.21
9 88 3.86
9 221 6.07
9 235 7.04
9 372 6.26
9 380 4.49
9 394 4.62
10 3 5.68
10 109 8.44
10 291 5.26
10 368 7.05
10 480 8.47
10 536 9.32
11 93 5.64
11 176 6.36
11 177 5.76
11 286 4.54
11 489 7.98
12 83 5.6
12 179 4.84
12 259 3.2
12 279 1.15
12 326 4.82
12 421 9.09
12 445 3.49
12 491 6.32
12 516 5.24
13 370 9.07
13 377 5.33
13 555 6.97
14 135 5.58
14 155 4.48
14 427 3.44
14 460 6.41
14 498 3.26
14 519 4.01
14 551 4.95
15 35 5.71
15 43 7.42
15 178 4.48
15 180 5.8
15 220 1.28
15 249 7.4
15 262 3.11
15 306 5.29
15 508 0.8
15 526 2.99
15 576 4.9
15 595 5.32
16 149 5.22
16 301 7.42
16 404 7.41
16 420 3.08
16 439 5.45
16 502 2.13
16 525 10
16 591 5.5
17 46 4.55
17 47 6.28
17 115 1.77
17 165 4.41
17 194 4.41
17 200 3.59
17 219 1.5
17 253 4.36
17 277 6.93
17 307 3.79
17 372 5.76
17 467 1.94
17 528 5.6
17 573 6.32
18 18 6.16
18 108 5.21
18 128 3.42
18 151 3.58
18 346 5.57
18 397 4.45
18 574 3.41
18 577 7.38
19 387 5.53
19 462 7.92
19 484 4.98
20 276 5.53
20 294 6.09
20 375 6.24
20 397 4.95
20 530 3.21
20 538 4.19
20 550 8.22
21 38 3.89
21 68 7.03
21 89 7.27
21 105 6.48
21 197 3.12
21 238 4.72
21 299 7.18
21 320 3.11
21 402 5.76
21 422 3.7
21 452 4.25
21 597 8.39
22 91 6.83
22 139 6.31
22 140 2.95
22 285 7.4
22 540 7.86
23 200 3.77
23 237 5.68
23 300 7.02
23 302 3.84
23 327 5.14
23 436 8.92
23 539 6.63
24 1 4.48
24 7 5.49
24 51 6.88
