Seed: 701255182
Researcher: 200
Papers: 800
Edges: 2120
RDensity: 0.6
minScore: 0
maxScore: 10
maxResearcherForPaper: 7
maxPaperForResearcher: 15
ToAssign: 500
0 128 6.14
0 132 4.82
0 318 4.65
0 423 4.72
0 516 4.44
0 716 5.51
0 746 4.61
1 34 4.5
1 54 4.14
1 276 4.56
1 518 2.83
1 562 8
1 589 7.02
1 645 5.28
2 35 6.23
2 120 6.72
2 371 9.3
2 378 4.38
2 430 2.12
2 435 8.02
2 457 5.85
2 545 5.23
2 624 4.78
3 71 6.72
3 284 6.45
3 661 4.52
4 56 4
4 123 5.08
4 259 7.6
4 328 4.58
4 347 4.5
4 466 4.99
4 516 4.73
4 564 7.45
4 577 6.12
4 592 6.04
4 650 3.83
4 698 7.37
5 8 6.19
5 89 3.77
5 229 4.51
5 301 1.19
5 314 7.87
5 449 3.11
5 471 4.88
5 556 3.12
5 661 3.98
5 702 7.4
5 799 4.39
6 2 5.9
6 3 8.23
6 159 6.23
6 228 8.07
6 267 2.56
6 314 7.93
6 544 3.73
6 627 4.65
6 672 6.89
6 729 5.32
7 520 4.27
7 526 3.29
7 532 4.26
7 682 6.8
8 240 3.12
8 281 6.24
8 424 3.71
8 529 6.05
8 573 3.32
8 626 3.53
8 636 7.4
8 647 7.37
8 685 1.07
8 687 3.43
8 731 8.05
8 736 4.91
9 0 8.04
9 79 2.01
9 103 8.47
9 122 3.04
9 231 4.04
9 358 4.17
9 396 2.6
9 397 8.08
9 414 0.81
9 445 5.25
9 576 4.58
9 641 5.33
9 719 3.01
10 140 4.65
10 146 1.99
10 172 6.51
10 173 3.91
10 239 7.26
10 357 8.44
10 361 8.05
10 480 5.3
10 538 2.21
10 606 4.26
11 31 5.31
11 216 4.84
11 313 2.47
11 338 4.55
11 441 5.38
11 470 2.72
11 479 5.2
11 650 3.57
11 685 1.13
11 775 3
11 778 4.42
11 793 8.69
12 3 8.06
12 90 0.74
12 162 5.35
12 221 5.47
12 306 4.49
12 333 4.98
12 349 5.26
12 377 5.83
12 425 4.77
12 496 5.25
12 567 1.69
12 596 4.44
12 636 8.18
12 669 3.29
12 678 6.52
13 6 5.3
13 168 4.93
13 246 3.81
13 405 7.07
13 427 3.56
13 507 9.03
14 43 6.42
14 210 0.33
14 286 5.88
14 292 6.7
14 605 5.57
14 734 4.99
15 32 5.12
15 38 7.39
15 69 1.41
15 129 2.37
15 461 5.47
15 573 3.13
15 732 4.25
15 740 6.45
16 11 2.5
16 167 7.11
16 171 5.97
16 209 6.12
16 274 1.62
16 301 1.6
16 416 6.79
16 418 5.44
16 566 3.39
16 599 4.64
16 624 5.39
16 657 4.62
16 665 0
16 761 9.13
17 101 4.1
17 260 3.6
17 323 3.73
17 394 8.6
17 430 2.25
17 576 4.93
17 585 5.74
17 653 3.49
17 725 2.27
17 750 3.22
17 766 6.16
17 784 3.71
18 86 3.3
18 173 3.57
18 212 4.68
18 240 3.25
18 317 4.89
18 389 2.59
18 469 3.67
18 690 3.64
18 701 4.52
18 706 7.97
18 765 2.12
19 33 5.15
19 66 7.64
19 154 6.33
19 227 4.08
19 252 7.08
19 253 4.76
19 279 3.92
19 419 5.04
19 511 0.36
20 216 4.56
20 227 4.36
20 301 1.22
20 327 1.51
20 330 2.06
20 522 2.6
20 635 4.16
20 728 5.84
20 733 5.92
20 738 4.79
21 113 3.83
21 123 4.73
21 149 7.56
21 170 5.19
21 290 1.61
21 339 4.8
21 356 5.76
21 386 9.43
21 417 6.24
21 556 3.64
21 625 7.15
21 695 5.65
22 37 5.28
22 204 7.76
22 459 5.15
22 588 6.22
22 639 6.05
22 673 7.4
22 688 5.84
22 703 6.29
22 770 6.39
23 9 6.72
23 46 6.41
23 117 4.13
23 191 4.19
23 269 7.56
23 310 6.27
23 346 4.61
23 364 7.92
23 387 4.82
23 393 0.35
23 446 7.57
23 463 5.26
23 739 9.69
23 777 7.27
23 789 5.93
24 25 8.09
24 52 3.71
24 95 7.65
24 112 8.14
24 121 2.78
24 314 7.59
24 388 8.83
24 469 4.1
24 490 3.53
24 538 1.97
24 719 3.18
24 777 7.1
25 21 7.08
25 53 4.93
25 143 6.92
25 303 6.5
25 370 5.01
25 546 5.22
25 701 4.68
26 147 4.22
26 150 4.19
26 451 4.44
26 480 5.24
26 519 4.29
26 523 5.88
26 591 5.3
26 720 7.63
27 3 8.35
27 48 6.24
27 155 2.29
27 225 3.72
27 244 2.25
27 343 3.93
27 435 7.24
27 441 5.49
27 533 2.77
27 567 1.49
27 647 6.83
27 672 6.78
27 799 4.75
28 21 6.7
28 63 5.1
28 84 5.54
28 130 7.33
28 308 4.76
28 394 8.45
28 493 3.64
28 564 7.54
28 665 0
29 10 5.65
29 141 3.52
29 214 2.14
29 268 5.81
29 299 5.44
29 312 6.96
29 422 4.31
29 540 3.3
29 659 8.53
29 669 2.74
29 722 4.45
30 3 7.78
30 27 5.88
30 153 9.5
30 196 7.91
30 340 1.5
30 398 4.52
30 430 2.6
30 561 3.98
30 662 5.53
30 686 4.3
30 743 6.47
30 791 4.56
31 52 3.61
31 298 8.96
31 310 5.92
31 395 2.61
31 398 5.08
31 429 5.24
31 432 7.91
31 447 4.53
31 462 6.89
31 552 0.47
31 616 4.55
31 764 3.25
31 786 7.35
32 43 5.82
32 134 5.83
32 158 5.26
32 223 6.33
32 238 4.76
32 330 1.57
32 423 5.05
32 430 2.29
32 452 8.03
32 487 7.39
32 542 5.28
32 556 3.87
32 674 2.72
32 715 2.91
32 732 4.26
33 88 5.56
33 198 6.42
33 204 7.28
33 313 2.63
33 321 4.06
33 362 6.67
33 457 5.59
33 515 4.74
33 578 5.87
33 607 6
33 642 8.65
34 67 7.36
34 77 8.81
34 111 4.68
34 133 5.35
34 177 3.35
34 190 1.78
34 333 4.96
34 359 6.93
34 360 5.89
34 530 5.06
34 538 2.49
34 562 7.9
34 731 8.56
34 746 4.19
34 792 8.12
35 51 7.53
35 81 6.14
35 135 2.86
35 182 4.67
35 250 4.6
35 345 4.32
35 380 2.46
35 392 2.21
35 404 3.64
35 475 6.43
35 765 1.82
36 1 5.59
36 18 4.53
36 41 6.88
36 59 5.35
36 63 5.12
36 84 6.02
36 140 4.68
36 201 8.25
36 353 3.48
36 382 3.45
36 475 6.23
36 606 4.24
36 618 2.22
37 159 5.96
37 233 6.82
37 290 1.82
37 352 4.8
37 448 4.97
37 462 6.18
37 514 5.09
37 550 3.46
37 679 4.88
38 10 5.58
38 19 3.76
38 25 8.77
38 110 4.02
38 158 5.32
38 306 4.53
38 366 4.68
38 433 4.2
38 555 5.16
38 567 0.91
38 677 4.12
39 51 7.94
39 147 4.08
39 154 6.47
39 194 5.4
39 458 8.81
39 747 5.85
40 174 6.97
40 224 4.12
40 226 4.16
40 238 5.11
40 257 8.11
40 407 8.44
40 435 7.61
40 507 8.5
40 574 0.42
40 646 1.7
40 647 7.3
40 653 4.04
40 724 7.82
40 725 1.83
