Seed: 1796335013
Researcher: 50
Papers: 600
Edges: 734
RDensity: 0.9
minScore: 0
maxScore: 10
maxResearcherForPaper: 7
maxPaperForResearcher: 15
ToAssign: 125
0 121 4.26
0 139 3.88
0 165 3.1
0 172 5.08
0 179 7.33
0 200 2.3
0 242 5.71
0 260 4.36
0 304 4.74
0 320 4.46
0 352 2.44
0 385 0.26
0 462 5.14
0 575 5.33
0 585 6.27
1 49 2.67
1 54 8.62
1 76 8.07
1 130 7.47
1 155 3.95
1 170 5.33
1 196 5.65
1 214 5.93
1 239 5.68
1 323 4.95
1 371 2.22
1 425 7.63
1 448 5.09
1 476 1.3
1 536 2.11
2 49 2.81
2 91 3.61
2 251 4.24
2 268 4.54
2 270 5.2
2 357 5.32
2 383 3.69
2 390 6.51
2 400 3.37
2 522 3.34
2 592 1.65
3 36 4.99
3 112 5.51
3 289 1.93
3 302 5.41
3 313 2.08
3 316 3.95
3 355 4.7
3 411 6.8
3 413 5.22
3 417 3.2
3 420 6.04
3 545 6.38
3 567 6
3 594 6.85
3 595 8.03
4 50 3.12
4 65 2.74
4 170 4.99
4 204 3.62
4 229 4.55
4 305 8.77
4 383 3.13
4 406 7.11
4 496 7.62
4 502 8.29
4 517 4.27
4 524 3.61
4 525 4.59
4 535 2.71
4 569 3.99
5 16 3.88
5 19 4.34
5 167 7.76
5 256 5.93
5 258 5.86
5 360 5.21
5 408 5.96
5 424 7.07
5 461 2.51
5 479 1.43
5 507 2.11
5 510 5.31
5 552 7.14
5 589 4.8
5 597 4.33
6 10 2.87
6 56 6.07
6 62 3.46
6 166 8.02
6 203 6.17
6 240 8.95
6 292 4.81
6 293 3.52
6 327 6.31
6 330 2.49
6 337 3.12
6 391 5.21
6 433 8.45
6 487 8.99
6 544 5.18
7 6 2.52
7 15 5.63
7 22 8.41
7 122 6.33
7 129 7.2
7 241 5.45
7 288 4.68
7 309 4.97
7 347 5.87
7 381 4.51
7 386 5.69
7 391 5.14
7 394 3.89
7 499 4.86
7 540 4.08
8 21 5.36
8 33 3.84
8 34 5.53
8 71 5.87
8 86 1.92
8 105 5.05
8 141 5.07
8 228 6.92
8 234 1.97
8 248 4.09
8 350 5.45
8 356 4.14
8 437 7.95
8 491 6.05
8 548 4.97
9 49 2.77
9 87 8.45
9 100 4.83
9 126 5.64
9 130 7.81
9 200 2.98
9 311 5.5
9 325 5.73
9 333 3
9 390 7.22
9 479 0.98
9 494 3.88
9 499 4.79
9 574 6.94
9 578 6.48
10 1 3.06
10 57 2.81
10 89 5.18
10 92 4.09
10 94 5.56
10 171 4.74
10 205 5.66
10 213 6.71
10 227 7.3
10 307 4.6
10 409 2.21
10 412 3.89
10 441 5.12
10 503 6.44
10 570 5.37
11 97 4.71
11 113 5.57
11 143 6
11 193 7.55
11 202 4.08
11 291 2.47
11 299 6.74
11 305 8.64
11 321 6.15
11 343 4.17
11 382 3.14
11 384 5.96
11 438 6.44
11 445 7.48
11 505 6.11
12 0 3.5
12 47 4.4
12 49 3.09
12 58 7.62
12 79 1.75
12 84 5.01
12 103 7.1
12 158 1.9
12 230 8.41
12 351 7.68
12 371 1.38
12 407 3.65
12 444 6.28
12 479 0.98
12 511 4.76
13 35 4.05
13 124 4.4
13 170 5.86
13 176 7.55
13 180 4.4
13 206 8.38
13 226 7.77
13 378 7.16
13 383 3.01
13 393 0.39
13 431 5.41
13 438 6.5
13 470 6.11
13 572 6.99
13 581 7.47
14 9 5.39
14 18 5.76
14 37 2.04
14 46 6.45
14 88 2.14
14 142 5.4
14 220 2.67
14 221 2.15
14 268 4.81
14 414 6.1
14 485 3.89
14 495 5.95
14 550 6.05
14 566 6.71
14 580 3.48
15 12 4.4
15 14 5.98
15 31 3.41
15 42 3.18
15 48 7.39
15 94 5.73
15 137 6.85
15 164 3.51
15 200 3.01
15 236 0.79
15 371 1.87
15 426 4.4
15 532 3.97
15 534 5.39
15 591 3.72
16 7 4.64
16 39 7.53
16 115 5.45
16 146 8.06
16 173 2.78
16 272 6.08
16 300 3.94
16 315 7.16
16 407 4.04
16 444 6.33
16 465 6.52
16 468 1.13
16 563 4.12
16 573 6.37
16 582 0.27
17 5 8.25
17 96 6.93
17 108 7.64
17 200 2.47
17 268 4.59
17 284 6.23
17 335 4.37
17 346 6.42
17 353 7.1
17 374 4.8
17 484 1.76
17 502 8.94
17 578 7
18 26 7.76
18 61 3.88
18 65 2.48
18 106 5.2
18 177 5.03
18 255 5.19
18 264 4.76
18 277 7.43
18 296 8.71
18 384 5.52
18 419 4.74
18 451 1.1
18 454 4.09
18 464 4.97
18 536 2.26
19 108 7.82
19 154 5.74
19 225 5.02
19 296 9.08
19 346 5.89
19 368 2.71
19 404 3.52
19 452 3.74
19 471 4.98
19 508 4.57
19 528 6.56
19 558 6.16
19 560 4.79
19 565 3.27
19 596 5.61
20 40 1.4
20 72 5.84
20 74 4.3
20 83 3.16
20 130 7.26
20 149 6.53
20 174 2.27
20 194 1.28
20 209 7.17
20 210 3.98
20 231 4.29
20 279 2.17
20 312 0.7
20 318 4.85
20 558 5.75
21 25 4.54
21 41 2.79
21 111 5.09
21 134 6.5
21 163 5.29
21 244 8.42
21 322 5.36
21 339 3.77
21 363 4.07
21 428 8.6
21 449 5.47
21 453 4.1
21 531 7.4
21 541 2.25
21 593 5.59
22 136 6.68
22 190 4.73
22 195 2.58
22 222 4.94
22 273 7.57
22 276 9.7
22 296 9.08
22 344 4.18
22 365 4.93
22 376 5.4
22 388 4.87
22 439 7.02
22 440 1.41
22 460 3.51
22 514 3.17
23 94 5.95
23 151 2.14
23 161 6.78
23 225 5.26
23 425 8.21
23 432 5.37
23 455 3.48
23 477 4.95
23 479 0.76
23 501 5.47
23 533 5.47
23 538 4.62
23 557 5.68
24 13 8.53
24 44 8.52
24 51 3.37
24 223 4.39
24 235 5.16
24 329 3.13
24 373 3.47
24 399 3.38
24 407 3.75
24 458 8.12
24 479 0.69
24 539 7.35
24 558 6.04
24 578 6.13
24 592 1.93
25 27 3.73
25 95 8.86
25 182 5.28
25 233 6.07
25 247 5.62
25 383 3.55
25 443 1.89
25 456 2.04
25 488 3.19
25 498 1.46
25 509 3.92
25 519 6.12
25 527 3.63
25 546 3.88
25 564 5.67
26 8 3.51
26 185 3.5
26 191 4.33
26 194 1.96
26 294 5.89
26 345 3.29
26 386 6.34
26 394 3
26 539 8.13
26 588 5.24
27 17 3.64
27 29 3.79
27 55 1.62
27 69 5.1
27 178 3.79
27 186 1.31
27 225 5.15
27 250 5.94
27 265 2.39
27 287 4.9
27 380 8.89
27 395 3.34
27 421 7.31
27 542 2.13
27 553 7.4
28 66 4.95
28 72 5.91
28 90 3.18
28 101 2.48
28 168 4.45
28 183 6.93
28 283 6.51
28 298 2.29
28 326 6.25
28 367 2.82
28 401 1.53
28 403 5.22
28 493 3.16
28 523 3.64
28 571 3.68
29 11 4.45
29 128 3.05
29 157 4.76
29 290 5.86
29 295 3.74
29 324 8.83
29 336 7.21
29 370 3.99
29 375 8.87
29 402 8.13
29 416 8.09
29 422 8.65
29 504 3.89
29 552 6.64
29 590 6.93
30 2 6.73
30 67 6.43
30 98 4.03
30 147 6.06
30 219 5.6
30 268 4.21
30 334 6.94
30 346 6.09
30 384 5.84
30 418 3.16
30 435 8.18
30 459 1.27
30 466 5.32
30 526 5.67
30 592 1.75
31 8 4.13
31 130 7.69
31 139 3.54
31 200 3.07
31 232 6.74
31 297 2.78
31 301 4.38
31 383 3.34
31 464 5.7
31 478 3.05
31 497 4.43
31 578 6.83
31 592 2.11
31 599 2.78
32 43 5.49
32 49 2.78
32 63 3.96
32 65 3.05
32 72 6.36
32 94 6.28
32 99 4.28
32 104 4.88
32 123 5.61
