Seed: 3451307308
Researcher: 200
Papers: 1600
Edges: 2440
RDensity: 0.6
minScore: 0
maxScore: 10
maxResearcherForPaper: 7
maxPaperForResearcher: 15
ToAssign: 500
0 42 4.26
0 71 4.13
0 109 2.01
0 386 5.6
0 449 5.63
0 499 8.23
0 825 7.2
0 1037 2.39
0 1040 6.99
0 1052 6.04
0 1207 8.76
0 1496 6.97
0 1516 7.37
0 1544 4.76
1 183 4.67
1 384 7.31
1 490 6.11
1 550 5.47
1 664 5.63
1 820 0.83
1 839 5.93
1 952 4.3
1 1093 8.4
1 1189 6.78
1 1233 4.34
1 1342 3.85
1 1505 6.26
2 235 7.47
2 310 6.49
2 475 4.42
2 615 8.93
2 826 7.33
2 829 2.56
2 869 3.83
2 920 7.21
2 1218 6.63
2 1228 3.71
2 1407 6.73
2 1449 7.43
2 1492 4.52
2 1551 3.14
2 1585 5.49
3 94 5.64
3 152 2.19
3 265 6.33
3 300 0.78
3 379 5.55
3 393 3.97
3 395 4.56
3 630 5.74
3 744 8.56
3 777 4.29
3 834 6.23
3 1031 7.65
3 1090 2.77
3 1130 6.45
3 1324 6.45
4 27 5.52
4 47 7.34
4 83 4.52
4 185 10
4 234 3.85
4 309 4.17
4 324 4.34
4 696 3.87
4 762 5.12
4 765 5.86
4 985 7.21
4 1143 2.45
4 1191 4.19
5 40 8.61
5 321 4.68
5 354 0.35
5 936 7.04
5 941 6.73
5 985 7.4
5 1014 4.49
5 1041 8.87
5 1092 7.36
5 1102 6.11
5 1232 5.48
5 1286 6.34
5 1424 3.15
6 33 6.73
6 58 6.97
6 87 6.11
6 104 6.67
6 255 6.21
6 259 5.44
6 395 5.26
6 567 4.92
6 707 3.89
6 756 7.65
6 956 8.13
6 1329 5.8
6 1355 5.08
6 1426 5.77
6 1570 5.84
7 44 4.6
7 120 4.15
7 244 4.17
7 276 3.84
7 626 6.26
7 671 7
7 881 5.36
7 946 3.56
7 1015 6.5
7 1029 6.14
7 1161 8.09
7 1231 6.92
7 1269 4.31
7 1271 4.78
7 1555 7.66
8 8 6.57
8 21 3.86
8 28 2.72
8 146 6.43
8 169 6.29
8 202 3.21
8 387 7.83
8 435 3.24
8 797 5.57
8 1046 7.65
8 1050 6.32
8 1242 0.63
8 1250 6.04
9 405 9.56
9 473 3.47
9 545 6.08
9 553 4.73
9 791 7.51
9 852 3.73
9 1074 4.12
9 1118 2.82
9 1181 2.07
9 1315 7.65
9 1413 3.01
10 23 7.74
10 37 4.95
10 101 5.57
10 300 0.3
10 412 5.82
10 508 5.61
10 551 4.7
10 712 5.48
10 830 4.33
10 943 5.95
10 1005 3.01
10 1036 6.53
10 1068 6.15
10 1173 7.94
10 1490 4.22
11 80 6.18
11 262 6.95
11 303 5.18
11 584 7.07
11 624 4.73
11 717 6.17
11 753 7.89
11 969 4.46
11 1055 5.64
11 1108 4.55
11 1257 6.98
