Seed: 2598318809
Researcher: 200
Papers: 2400
Edges: 2580
RDensity: 0.3
minScore: 0
maxScore: 10
maxResearcherForPaper: 7
maxPaperForResearcher: 15
ToAssign: 500
0 1 6.44
0 121 3.82
0 318 2.28
0 949 3.49
0 1051 4.88
0 1211 7.89
0 1405 6.98
0 1628 5.6
0 1669 2.11
0 1707 4.99
0 1834 3.21
0 2071 4.52
0 2310 6.34
0 2331 5.96
1 218 4.98
1 349 3.62
1 445 1.14
1 699 4.44
1 711 4.71
1 805 6.1
1 831 1.97
1 901 5.36
1 968 4.37
1 1116 6.33
1 1469 5.7
1 1540 2.61
1 1584 5.1
1 1625 3.54
2 92 6.25
2 193 4.96
2 214 5.97
2 498 5.28
2 817 2.81
2 1032 9.91
2 1149 7.65
2 1297 5.96
2 1346 3.27
2 1580 6.7
2 1783 7.36
2 1928 5.15
2 1935 6.73
2 2035 5.98
2 2084 4.47
3 73 1.93
3 248 2.38
3 721 3.4
3 810 5.42
3 1204 1.01
3 1238 5.65
3 1372 3.89
3 1396 5.91
3 1611 6.49
3 1815 4.38
3 1918 6.56
3 1924 4.98
3 1973 3.69
3 2006 5.93
4 9 3.27
4 56 3.61
4 115 6.24
4 166 6.21
4 286 2.46
4 394 1.57
4 733 4.7
4 783 3.77
4 1206 1.46
4 1268 4.75
4 1476 5.56
4 2100 8.44
4 2285 4.5
5 304 3.76
5 778 3.53
5 851 3.51
5 942 4.42
5 993 4.16
5 994 5.08
5 1155 2.6
5 1234 4.95
5 1303 9.34
5 1398 6.04
5 1476 6.06
5 1748 4.76
5 1809 3
5 1974 4.54
5 1987 5.1
6 3 7.78
6 162 3.94
6 306 5.77
6 742 6.58
6 826 4.27
6 986 8.08
6 1037 6.21
6 1607 4.86
6 1805 6.86
6 1964 9
6 2015 2.91
7 22 3.82
7 282 5.01
7 476 4.4
7 489 3.66
7 544 5.25
7 648 1.54
7 762 8.53
7 780 5.87
7 917 3.6
7 1026 6.73
7 1232 6.34
7 1591 6.77
7 1798 1.9
7 2154 5.55
7 2269 3.58
8 54 4.46
8 163 1.29
8 636 7.93
8 731 6.59
8 861 6.31
8 947 5.47
8 1044 3.87
8 1285 5.29
8 1316 4.77
8 1348 2.49
8 1451 3.75
8 1542 3.4
8 1803 6.66
8 2072 6.9
8 2360 2.35
9 83 7.01
9 288 2.86
9 458 7.85
9 844 3.25
9 858 7.06
9 1050 4.97
9 1218 4.06
9 1264 7.33
9 1330 6.23
9 1483 4.06
9 1625 3.92
9 2228 2.65
10 43 3.74
10 86 2.51
10 221 2.45
10 294 5.55
10 305 8.5
10 500 1.43
10 975 4.25
10 1088 8.97
10 1458 7.01
10 1575 4.62
10 1654 8.63
10 1880 3.3
10 2021 5.74
10 2327 4.11
10 2344 3.81
11 80 7.23
11 159 3.78
11 387 6.57
11 1295 0.73
11 1407 3.75
11 1586 5.93
11 1659 0.55
11 1822 4.65
11 1990 3.04
11 1995 4.84
11 2256 5.29
11 2375 2.11
12 41 5.52
12 181 4.2
12 290 3.59
12 291 3.36
12 446 5.4
12 520 3.45
12 700 7.57
12 956 5.8
12 992 9.25
12 1318 6.15
12 1509 2.82
12 1797 2.86
12 1868 6.68
12 1892 2.5
12 1999 6.08
13 464 5.21
13 485 7.11
13 529 4.29
13 1065 3.94
13 1118 1.03
13 1253 9.18
13 1481 3.79
13 1740 4.76
13 2162 3.16
14 40 3.99
14 612 3.14
14 695 3.6
14 820 3.95
14 900 7.47
14 1013 3.07
14 1096 5.19
14 1567 5.17
14 1733 4.98
14 1804 5.24
14 1847 3.15
14 1886 1.78
14 2119 4.08
15 319 5.24
15 393 5.62
15 727 3.23
15 912 3.53
15 1175 6.05
15 1447 5.08
15 1664 0.06
15 1889 5.77
15 1946 6.18
15 1971 5.1
15 2278 4.23
16 333 7.64
16 616 5.84
16 652 5.03
16 777 5.67
16 905 6.47
16 1144 6.16
16 1363 1.53
16 1643 6.48
16 1648 5.94
16 1813 5.58
16 1979 2.28
16 2049 7.34
16 2164 5.86
16 2187 7.7
16 2378 5.44
17 75 2.84
17 117 3.88
17 543 8.54
17 746 4.28
17 1106 5.52
17 1198 1.79
17 1373 2.48
17 1381 5.44
17 1445 0.29
17 1652 5.7
17 1814 3.94
17 2000 2.74
17 2299 5.12
18 2 5.06
18 301 2.49
18 602 1.6
18 635 4.44
18 763 6.17
18 810 4.87
18 877 5.84
18 1440 4.37
18 1461 1.96
18 1502 4.47
18 1824 6.55
18 2310 6.73
18 2311 7.57
18 2342 3.19
19 11 2.71
19 135 3.45
19 417 3.91
19 595 1.64
19 657 5.3
19 1028 5.93
19 1071 5.32
19 1310 5.97
19 1613 3.52
19 1898 3.91
19 1910 5.78
19 1930 5.21
19 1992 3.81
19 2010 7.54
20 271 4.94
20 618 3.56
20 645 5.71
20 908 4.97
20 957 4.49
20 982 3.79
20 1102 3.6
20 1229 5.85
20 1315 5.7
20 1730 1.75
20 2189 4.12
21 39 3.61
21 116 4.25
21 405 5.25
21 440 6.28
21 484 5.19
21 660 1.44
21 713 3.55
21 950 3.83
21 1499 5.63
21 1605 3.68
21 1844 3.4
22 247 5.62
22 449 3.64
22 477 9.28
22 1679 6.52
22 1806 3.67
22 1960 1.44
22 1962 8.71
22 2304 4.34
23 97 8.11
23 329 4.28
23 398 4.94
23 404 8.77
23 424 4.04
23 471 6.75
23 702 4.91
23 998 9.01
23 1416 1.3
23 1665 4.12
23 2150 4.24
23 2272 6.44
24 7 2.67
24 14 6.12
24 122 5.91
24 269 8.33
24 283 10
24 685 5.04
24 932 2.76
24 960 5.93
24 1134 3.37
24 1196 4.58
24 1250 7.73
24 1475 7.38
24 1963 5.96
24 2268 2.24
25 167 6.7
25 180 8.33
25 315 7.42
25 1007 4.78
25 1151 0.75
25 1361 5.3
25 2026 3.47
25 2157 4.41
25 2191 5.48
25 2347 3.66
26 58 6.48
26 475 5.15
26 1163 6.83
26 1423 5.15
26 1436 5.12
26 1455 4.67
26 1638 5.06
26 1657 4.94
26 1683 6.17
26 1710 5.31
26 1818 4.47
26 1898 3.75
26 2022 4.74
26 2174 8.33
26 2363 1.7
27 141 5.14
27 157 4.24
27 427 0.5
27 731 6.75
27 1058 6.75
27 1296 3.41
27 1737 6.35
27 1813 5.76
28 130 1.73
28 168 3.84
28 324 2.73
28 331 4.3
28 714 4.55
28 1012 6.64
28 1092 6.03
28 1189 2.31
28 1292 2.43
28 1413 5.85
28 1532 5.21
28 1646 3.48
28 1731 7.49
28 2056 6.89
28 2110 3.86
29 238 5.25
29 643 7.67
29 670 2.29
29 772 4.27
29 875 4.44
29 1179 0.88
29 1244 3.11
29 1480 1.99
29 1527 5.04
29 1570 5.63
29 1865 7.02
29 2151 7.42
29 2155 2.9
29 2261 5.4
29 2382 5.83
30 270 4.07
30 352 5.14
30 651 4.1
30 683 9.76
30 741 3.33
30 995 6.19
30 1035 8.2
30 1230 7.08
30 1248 7.77
30 1401 8.64
30 1520 6.99
30 1682 6.92
30 1989 2.96
30 2060 4.57
31 81 3.7
31 131 9.31
31 314 5.02
31 348 2.81
31 481 7
31 533 2.5
31 604 8.53
31 1010 6.46
31 1366 4.26
31 1671 5.73
31 1851 4.45
31 2092 3.12
31 2166 7.72
31 2299 5.05
31 2313 7.71
32 261 1.85
32 468 5.86
32 766 3.82
32 862 1.19
32 1042 6.24
32 1069 7.02
32 1528 1.96
32 1696 5.09
32 1715 2.99
32 1892 2.41
32 1950 5.13
32 2032 6.57
32 2280 3.32
32 2307 7.32
33 366 3.57
33 508 4.96
33 717 5.37
33 747 8.94
33 802 4.98
33 1027 2.12
33 1082 3.35
33 1109 4.36
33 1349 6.81
33 1775 2.86
33 1843 5.62
33 1922 4.63
33 2108 9.15
33 2116 5.23
33 2263 7.7
34 48 4.51
34 132 6.92
34 409 7.76
34 564 9.93
34 693 3.92
34 725 4.56
34 726 7.38
34 809 4.39
34 1356 6.08
34 1566 3.89
34 1750 4.66
34 1848 4.86
34 2149 5.62
34 2305 4.35
35 66 6.43
35 240 4.22
35 561 7
35 573 2.17
35 624 3.69
35 764 5.64
35 957 3.79
35 1389 0.55
35 1427 3.42
35 1559 1.41
35 1593 5.9
35 1788 5.24
35 1976 2.97
35 2040 7.34
35 2094 4.9
36 60 3.04
36 175 5.64
36 590 6.21
36 783 3.63
36 1263 2.84
36 1390 4.86
36 1606 5.77
36 1649 1.94
36 2128 5.62
36 2237 7.09
36 2295 2.09
37 221 3.11
37 299 1.91
37 334 4.46
37 758 4.41
37 794 4.86
37 876 4.22
37 973 3.72
37 1004 4.54
37 1317 5.63
37 1466 3.63
37 1572 5.72
37 1613 3.21
37 1854 7.35
37 2345 6.45
38 36 4.3
38 200 1.85
38 541 7.53
38 1472 3.37
38 1637 5.33
38 1883 6.23
38 1945 6.53
38 2141 1.17
38 2186 5.27
38 2231 4.4
39 95 7.26
39 213 3.64
39 360 5.25
39 545 3.91
39 1084 7.99
39 1113 4.72
39 1241 5.89
39 1284 3.73
39 1855 5.83
39 2051 3.86
39 2143 3.83
39 2165 5.66
40 17 0.6
40 84 4.89
40 528 5.9
40 646 5.09
40 929 3.91
40 987 1.85
40 1001 5.24
40 1045 5.06
40 1257 1.92
40 1404 4.65
40 1573 7.31
40 2067 7.26
40 2362 4.06
41 106 7.71
41 404 8.32
41 614 3.93
41 623 1.41
41 728 5.85
41 804 1.97
41 808 6.43
41 1114 2.89
41 1243 5.53
41 1289 8.09
41 1291 4.68
41 1407 4.34
41 1753 7.07
42 583 6.92
42 1157 5.35
42 1283 6.74
42 1463 4.31
42 1494 7.04
42 1735 5.6
42 1841 5.16
42 1947 3.14
42 2066 4.95
42 2136 4.1
42 2183 7.05
42 2211 8.76
42 2312 4.5
42 2329 4.05
42 2386 3.33
43 220 5.85
43 259 6.81
43 356 7.48
43 372 4.82
43 453 5.01
43 987 1.36
43 1194 6.29
43 1432 5.1
43 1554 5.63
43 1761 2.17
43 2019 5.49
43 2194 4.29
43 2330 5.31
44 199 3.8
44 285 5.31
44 459 4.41
44 913 5.85
44 924 4.98
44 981 5.93
44 1360 3.87
44 1392 3.73
44 1595 2.56
44 1617 0
44 1704 5.25
44 1846 2.88
44 1876 4.88
44 2303 5.18
44 2332 5.78
45 53 6.34
45 480 3.84
45 671 4.53
45 744 3.47
45 939 3.25
45 1048 4.29
45 1131 7.65
45 1170 6.52
45 1203 2.87
45 1375 0.9
45 1431 1.86
45 1487 7.29
45 1610 8.03
45 1692 5.86
45 1721 4
46 12 4.73
46 38 2.97
46 397 4.51
46 469 6
46 736 2.79
46 976 5.86
46 1329 8.78
46 1537 2.49
46 2387 2.64
47 322 6.2
47 460 3.03
47 503 5.92
47 551 6.08
47 859 3.94
47 1003 7.21
47 1286 4.18
47 1313 3.03
47 1362 5.59
47 1680 4.1
47 1864 3.7
47 1901 3.24
47 2101 7.01
47 2104 6.6
47 2173 4.27
48 407 8.62
48 411 4.27
48 560 4.73
48 1098 4.23
48 1755 9.17
48 1791 1.66
48 2146 6.8
48 2253 8.7
49 371 4.76
49 586 0.68
49 603 3.98
49 765 6.48
49 907 4.5
49 930 1.35
49 1251 4.52
49 1433 7.01
49 1647 1.74
49 2131 5.44
49 2361 4.49
50 4 5
50 195 7.88
50 367 2.43
50 439 2.9
50 1117 5.55
50 1334 6.05
50 1716 7.35
50 1830 1.49
50 1904 5.03
50 2193 3.02
50 2287 4.59
51 45 4.41
51 183 6.97
51 249 4.92
51 511 3.11
51 641 7.99
51 723 4.4
51 884 5.11
51 1553 8.18
51 1722 5.47
51 1912 5.26
51 2215 6.23
52 100 6.9
52 148 4.92
52 176 4.44
52 303 1.56
52 506 7.31
52 686 5.14
52 769 0
52 1070 5.86
52 1182 4.12
52 1319 5.95
52 1320 7.33
52 1640 6.92
52 1694 7.31
52 1734 7.94
52 2030 4.59
53 8 6.62
53 59 5.08
53 187 9.5
53 879 2.43
53 1144 6.53
53 1224 6.11
53 1270 4.17
53 1456 2.79
53 1726 6.35
53 1981 4.58
53 2132 3.84
53 2254 5.11
54 138 3.14
54 244 7.48
54 311 4.95
54 493 6.45
54 617 6.89
54 705 7.89
54 1085 4.11
54 1294 4.79
54 1454 5.24
54 1462 5.61
54 1521 2.52
54 1658 8.29
54 1842 4.5
54 2034 0.02
54 2070 8.69
55 72 2.15
55 188 5
55 626 0.7
55 862 0.71
55 1017 4.08
55 1299 5.03
55 1343 5.43
55 1415 7.34
55 1424 8.44
55 1983 5.67
55 2079 5.17
55 2156 5.88
55 2201 4.78
55 2270 5.09
55 2372 2.24
56 169 4.49
56 178 6.48
56 579 4.7
56 653 5.68
56 743 6.38
56 813 7.61
56 838 6.64
56 943 3.81
56 1039 7.09
56 1300 5.36
56 1794 1.83
56 2175 4.02
56 2207 6.15
56 2288 3.72
57 139 6.95
57 408 4.99
57 410 7.54
57 513 3.94
57 657 5.16
57 1097 4.55
57 1237 0.37
57 1498 2.36
57 1526 3.58
57 1585 2.47
57 1719 1.73
57 1786 5.49
57 2004 5.62
57 2245 8.71
57 2348 0.65
58 215 5.18
58 403 5.26
58 539 2.95
58 749 5.6
58 966 0.7
58 1095 2.83
58 1367 8.18
58 1368 8.31
58 1941 4.78
58 2078 2.74
58 2113 4.07
58 2252 4.66
58 2330 5.27
59 62 6.7
59 205 2.99
59 615 6.79
59 857 4.62
59 1101 4.01
59 1200 1.92
59 1341 4.76
59 1423 5
59 1446 6.21
59 1701 6.72
59 2177 7.29
59 2205 4.8
60 16 6.63
60 229 3.06
60 327 8.08
60 382 5.2
60 587 3.69
60 1059 2.93
60 1162 8.06
60 1223 8.25
60 1276 4.37
60 1381 4.8
60 1393 5.11
60 1400 6.85
60 1438 3.64
