Seed: 468970224
Researcher: 100
Papers: 800
Edges: 1010
RDensity: 0.3
minScore: 0
maxScore: 10
maxResearcherForPaper: 7
maxPaperForResearcher: 15
ToAssign: 250
0 166 7.11
0 217 4.83
0 320 0.14
0 432 1.3
0 434 3.05
0 435 0.98
0 468 4.57
0 488 8.87
0 589 4.68
0 666 1.98
0 675 7.41
0 796 2.32
0 797 5.44
1 1 2.53
1 46 3.72
1 488 8.8
1 501 6.38
1 509 7.4
1 563 7.38
1 564 3.57
1 649 3.26
1 704 9.14
1 739 5.55
1 767 8.62
2 14 5.7
2 129 3.1
2 226 3.73
2 473 4.64
2 643 5.22
3 137 5.16
3 147 6.81
3 246 5.82
3 325 0.88
3 457 3.21
3 563 7.32
4 27 1.06
4 64 3.99
4 136 2.16
4 266 4.18
4 425 2.17
4 616 5.37
4 621 5.64
4 631 2.76
4 634 1.51
4 653 4.31
4 655 3.24
4 762 6.36
5 71 2.6
5 173 6.73
5 210 4.04
5 256 2.29
5 284 3.66
5 433 4.95
5 654 4.51
5 775 7.31
6 322 3.81
6 382 5.93
6 387 5.45
6 492 0.28
6 516 6.94
6 705 7.1
7 119 3.95
7 134 5.33
7 143 7.33
7 280 8.83
7 753 4.86
7 796 1.7
8 58 4.09
8 120 5.13
8 133 6.86
8 182 3.28
8 185 4.3
8 234 2.19
8 350 2.85
8 560 8.54
8 624 3.66
8 646 4.74
8 744 4.6
9 162 4.82
9 174 7.76
9 344 5.69
9 421 7.27
9 501 7.24
9 524 4.17
9 538 3.48
9 733 8.13
10 0 5.85
10 253 5
10 437 2.96
10 579 3.43
10 586 6.19
10 769 7.48
11 85 7.91
11 180 5.58
11 201 6.23
11 412 2.04
11 455 8.65
11 490 6.39
11 673 4.31
11 693 6.91
11 754 6.43
12 108 4.95
12 139 5.8
12 190 6.87
12 211 4.36
12 213 7.41
12 398 6.28
12 493 4.36
12 523 3.5
12 571 2.98
12 755 7.04
13 10 3.06
13 170 7.17
13 189 6.54
13 262 4.74
13 341 2.44
13 425 2.04
13 444 3.19
13 488 8.71
13 491 5.41
13 503 4.15
13 570 6.79
13 576 4.08
13 650 1.91
14 18 1.47
14 162 4.28
14 310 1.63
14 597 5.65
14 607 4.25
14 623 4.1
14 656 3.31
14 678 4.38
15 128 3.51
15 231 4
15 390 2.97
15 452 7.62
15 558 3.64
15 626 2.52
15 644 5.89
16 88 5.45
16 152 1.93
16 206 5.19
16 215 2.76
16 375 3.51
16 393 7.11
16 410 4.09
16 475 7.04
16 551 7.18
16 612 7.1
16 636 3.83
16 712 5.84
17 79 3.53
17 103 8.33
17 189 5.76
17 214 5.34
17 224 3.61
17 417 2.51
17 461 6.67
17 489 4.96
17 493 4.21
17 635 6.8
18 145 4.76
18 203 2.39
18 226 4.44
18 259 4.38
18 396 2.14
18 449 3.16
18 525 1.15
18 552 6.93
18 570 6.71
18 732 4.2
18 766 8.65
18 796 1.93
19 66 1.94
19 162 4.88
19 250 6.88
19 337 3.28
19 345 3.28
19 553 3.9
19 561 4.12
19 709 4.74
19 738 5.39
19 741 7.13
19 768 5.39
20 30 4.95
20 50 3.13
20 300 4.18
20 402 2.4
20 485 3.74
20 585 4.78
20 590 7.28
20 682 2.91
21 7 6.44
21 160 3.62
21 177 5.38
21 216 4.93
21 274 6.06
21 663 1.8
21 758 6.21
22 172 2
22 173 6.3
22 273 6.78
22 372 6.1
22 453 4.43
22 515 5.51
22 520 3.06
22 545 5
22 551 6.43
22 623 4.5
23 226 4.29
23 260 5.11
23 270 0.7
