Seed: 2875200727
Researcher: 100
Papers: 800
Edges: 1429
RDensity: 0.9
minScore: 0
maxScore: 10
maxResearcherForPaper: 7
maxPaperForResearcher: 15
ToAssign: 250
0 166 4.27
0 217 2.83
0 302 5.03
0 320 4.71
0 322 8.16
0 432 6.56
0 434 6.2
0 435 3.32
0 468 5.32
0 488 5.26
0 589 6.21
0 666 9.34
0 675 5.93
0 796 5.08
0 797 5.18
1 1 7.99
1 46 7.61
1 369 3.71
1 441 4.59
1 488 5.78
1 501 3.29
1 509 4.24
1 553 5.46
1 563 4.32
1 564 3.78
1 649 3.74
1 704 2.68
1 739 5.44
1 758 2.96
1 767 7.68
2 14 4.14
2 129 6.93
2 162 7.89
2 183 6.32
2 216 6.04
2 226 3.94
2 443 6.02
2 473 5.35
2 643 5.63
2 780 5.42
3 13 3.61
3 35 5.52
3 59 10
3 102 6.01
3 137 4.9
3 147 6.03
3 157 6.39
3 246 4.32
3 325 8.97
3 352 1.78
3 457 2.27
3 563 4.78
4 27 2.31
4 64 4.6
4 136 6.41
4 266 4.32
4 381 6.19
4 387 4.56
4 425 6.8
4 616 7.32
4 621 5.97
4 631 3.94
4 634 6.98
4 653 5.86
4 655 4.12
4 762 8.09
4 792 0.21
5 22 4.94
5 71 7.05
5 95 4.7
5 173 4.02
5 210 7.3
5 256 5.03
5 284 5.26
5 433 0.77
5 588 8.86
5 634 7.14
5 654 5.62
5 707 1.25
5 775 4.76
5 790 6.13
6 82 2.78
6 122 7.03
6 322 7.76
6 382 4.84
6 387 5.24
6 492 3.77
6 516 5.33
6 567 3.57
6 580 5.04
6 610 6.61
6 705 2.62
6 730 8.34
7 119 3.17
7 134 3.4
7 143 4.63
7 184 5.51
7 268 6.34
7 280 7.22
7 346 6.63
7 725 4.19
7 753 5.44
7 796 4.74
8 58 4.2
8 96 3.42
8 120 4.52
8 133 4.28
8 182 2.67
8 185 5.92
8 234 5.39
8 350 5.66
8 502 1.17
8 560 3.21
8 624 4.3
8 646 7.29
8 744 3.08
8 756 4.22
8 780 4.68
9 39 5.26
9 138 5.22
9 162 8.26
9 174 7.05
9 248 5.66
9 268 6.62
9 308 6.65
9 344 5.92
9 421 4.48
9 501 3.77
9 524 4.91
9 538 3.5
9 673 5.86
9 733 4.32
10 0 3.26
10 23 5.05
10 62 5.21
10 253 6.83
10 337 4.23
10 437 7.22
10 579 4.72
10 586 5.65
10 587 2.64
10 698 5
10 769 5.75
11 5 6.97
11 53 9.27
11 85 6.42
11 180 9.31
11 195 8.06
11 201 4.69
11 343 6.3
11 412 3.67
11 455 2.82
11 490 1.41
11 653 5.31
11 673 5.88
