Seed: 2907133961
Researcher: 60
Papers: 840
Edges: 1476
RDensity: None
minScore: 0
maxScore: 10
maxResearcherForPaper: None
maxPaperForResearcher: None
ToAssign: 150
0 5 4
0 126 5
0 149 7
0 153 6
0 168 1
0 171 6
0 174 8
0 176 4
0 184 7
0 276 1
0 303 5
0 319 10
0 325 10
0 336 3
0 381 5
0 414 7
0 432 5
0 464 8
0 483 1
0 488 8
0 513 5
0 536 5
0 573 4
0 597 5
0 651 3
0 666 6
0 707 6
0 715 7
0 755 2
0 833 5
1 111 2
1 137 7
1 173 3
1 178 7
1 214 4
1 219 5
1 334 4
1 337 6
1 564 4
1 618 6
1 715 7
1 783 7
1 822 5
2 87 7
2 99 6
2 225 3
2 263 6
2 269 3
2 359 6
2 369 6
2 374 6
2 383 4
2 424 4
2 435 6
2 482 9
2 493 4
2 619 8
2 680 3
2 800 6
3 3 8
3 5 2
3 10 6
3 13 7
3 15 7
3 56 4
3 82 7
3 102 2
3 119 5
3 123 1
3 194 7
3 197 6
3 213 4
3 232 5
3 247 6
3 263 8
3 271 5
3 316 5
3 340 9
3 349 8
3 395 1
3 400 10
3 401 5
3 406 2
3 421 6
3 423 5
3 482 10
3 509 7
3 540 4
3 544 4
3 551 7
3 556 5
3 575 7
3 607 5
3 625 2
3 707 6
3 711 1
3 754 8
3 792 8
3 804 4
4 15 6
4 31 6
4 101 5
4 160 5
4 168 3
4 170 3
4 311 5
4 347 7
4 349 7
4 423 5
4 504 4
4 649 6
4 680 2
4 716 5
4 751 4
4 812 5
5 37 6
5 57 4
5 157 4
5 182 6
5 185 9
5 259 5
5 323 5
5 331 5
5 442 6
5 456 7
5 519 7
5 534 3
5 606 2
5 726 6
5 776 4
6 43 5
6 224 6
6 227 6
6 266 6
6 311 7
6 367 7
6 479 3
6 524 2
6 564 3
6 666 6
6 707 4
6 737 5
6 829 5
7 74 8
7 187 4
7 288 3
7 455 5
7 509 6
7 568 2
7 772 2
8 4 5
8 25 3
8 75 6
8 95 8
8 96 5
8 163 4
8 171 5
8 234 9
8 235 5
8 293 9
8 312 4
8 316 6
8 344 4
8 348 7
8 386 8
8 387 5
8 399 2
8 445 4
8 462 3
8 469 4
8 494 5
8 523 4
8 535 9
8 538 7
8 577 2
8 630 3
8 636 1
8 642 3
8 658 7
8 681 7
8 701 6
8 709 6
8 715 6
8 730 5
8 761 4
9 466 6
9 723 6
9 753 6
10 79 3
10 97 10
10 151 5
10 291 5
10 330 8
10 485 5
10 573 5
10 591 4
10 613 3
10 628 6
10 676 5
10 757 3
10 800 7
10 821 5
11 24 5
11 30 6
11 45 4
11 66 3
11 122 3
11 123 2
11 156 3
11 242 0
11 261 4
11 307 9
11 338 8
11 425 2
11 448 3
11 453 5
11 499 2
11 501 9
11 511 7
11 579 6
11 608 5
11 620 4
11 638 3
11 734 5
11 766 3
11 805 5
11 818 3
12 11 4
12 32 6
12 70 1
12 91 4
12 97 8
12 109 1
12 123 2
12 156 5
12 162 2
12 192 3
12 193 4
12 270 2
12 360 3
12 385 2
12 388 3
12 394 4
12 403 2
12 440 5
12 449 4
12 450 6
12 453 4
12 467 3
12 474 5
12 476 6
12 480 6
12 505 7
12 512 2
12 560 6
12 600 6
12 643 6
12 688 6
12 713 5
12 717 9
12 735 7
12 738 6
12 757 1
12 758 6
12 773 7
12 804 4
12 807 4
12 831 4
13 5 2
13 7 2
13 64 1
13 78 7
13 80 2
13 81 3
13 87 5
13 94 5
13 98 6
