Seed: 3907464255
Researcher: 80
Papers: 800
Edges: 1642
RDensity: None
minScore: 0
maxScore: 10
maxResearcherForPaper: None
maxPaperForResearcher: None
ToAssign: 200
0 25 2
0 51 5
0 58 1
0 88 5
0 93 5
0 163 4
0 164 10
0 180 3
0 214 3
0 299 1
0 312 3
0 323 6
0 331 6
0 393 1
0 402 4
0 403 6
0 419 3
0 428 4
0 446 0
0 455 5
0 456 1
0 458 3
0 507 8
0 520 7
0 568 6
0 572 3
0 614 8
0 631 5
0 697 7
0 700 2
0 722 5
0 729 3
0 757 2
1 82 8
1 124 2
1 132 5
1 152 6
1 201 5
1 207 7
1 213 7
1 222 1
1 253 5
1 262 5
1 266 10
1 280 4
1 290 4
1 294 6
1 332 0
1 340 1
1 391 5
1 419 4
1 476 4
1 507 6
1 520 7
1 562 4
1 566 5
1 583 2
1 598 2
1 613 2
1 622 4
1 676 6
1 685 3
1 702 1
1 717 3
1 752 4
1 778 4
2 29 4
2 124 3
2 179 2
2 191 2
2 210 3
2 241 5
2 255 6
2 304 5
2 455 5
2 507 7
2 564 5
2 634 8
2 657 8
2 702 2
3 369 7
3 371 2
3 547 8
3 628 9
3 651 4
4 67 5
4 83 6
4 98 5
4 103 4
4 174 1
4 194 6
4 200 5
4 218 5
4 258 6
4 334 5
4 345 2
4 402 3
4 442 7
4 538 1
4 559 3
4 613 2
4 631 5
4 698 3
4 721 8
4 776 4
4 782 6
4 786 4
5 0 7
5 12 8
5 37 6
5 54 4
5 111 6
5 112 4
5 129 7
5 168 1
5 189 7
5 194 5
5 202 9
5 212 7
5 221 2
5 230 3
5 239 6
5 257 8
5 258 6
5 278 2
5 279 6
5 399 6
5 401 4
5 409 6
5 436 8
5 453 6
5 489 8
5 494 6
5 504 8
5 518 4
5 553 3
5 561 0
5 601 4
5 619 3
5 626 3
5 736 7
5 748 7
5 760 4
6 6 4
6 32 5
6 60 2
6 69 8
6 102 5
6 114 7
6 185 7
6 196 3
6 208 7
6 241 6
6 300 6
6 352 4
6 356 6
6 370 3
6 411 6
6 438 9
6 489 8
6 493 5
6 523 0
6 535 4
6 538 1
6 593 3
6 616 5
6 630 8
6 632 9
6 670 4
6 681 7
6 684 5
6 686 0
6 691 5
6 737 6
6 749 8
6 761 5
6 783 3
7 48 9
7 53 8
7 129 9
7 132 6
7 166 4
7 256 3
7 260 6
7 334 4
7 501 8
7 517 5
7 537 0
7 556 4
7 711 5
7 729 2
7 759 4
7 791 1
8 23 3
8 85 7
8 223 7
8 525 5
8 654 5
8 675 4
9 31 4
9 185 6
9 313 2
9 338 4
9 383 8
9 398 7
9 505 6
9 546 4
9 606 9
9 622 5
9 656 8
9 681 6
9 720 6
9 781 3
10 34 2
10 53 7
10 175 8
10 212 8
10 216 6
10 411 8
10 415 4
10 446 1
10 461 5
10 542 7
10 555 8
10 603 6
10 663 3
10 739 9
11 39 6
11 60 2
11 110 6
11 177 4
11 245 4
11 269 3
11 316 6
11 358 4
11 405 7
11 450 5
11 465 2
11 579 7
11 608 5
11 612 6
11 641 4
11 663 4
11 690 6
12 43 6
12 44 5
12 153 3
12 177 5
12 184 8
12 228 5
12 264 10
12 265 4
12 266 9
12 273 7
12 276 8
12 323 5
12 345 4
12 346 3
12 348 1
12 376 4
12 384 7
12 404 8
12 423 3
12 455 6
12 525 5
12 586 3
12 617 7
12 638 5
12 698 4
12 714 7
12 766 4
13 38 3
13 123 4
13 162 4
13 227 6
13 244 6
13 347 7
13 425 0
13 466 3
13 493 7
13 512 5
13 749 6
14 116 9
14 292 6
14 393 1
15 0 5
15 12 8
15 33 3
15 94 4
15 99 5
15 110 8
15 122 5
15 133 2
15 196 2
15 220 6
15 299 1
15 331 5
15 374 4
15 387 9
15 454 4
15 458 1
15 469 6
15 471 7
15 487 9
15 510 3
15 522 4
15 525 6
15 532 6
15 564 6
15 575 3
15 580 4
15 592 10
15 608 5
15 635 5
15 667 3
15 670 5
15 722 5
15 741 6
15 769 5
15 792 2
16 103 3
16 159 5
16 249 2
16 253 4
16 297 8
16 329 6
16 339 3
16 346 5
16 356 6
16 365 4
16 393 2
16 408 6
16 411 6
16 473 4
16 491 5
16 492 4
16 499 4
16 513 9
16 521 6
16 556 4
16 588 6
16 589 5
16 650 5
16 679 6
16 728 5
16 745 9
16 761 6
16 765 3
16 777 5
16 799 0
17 18 1
17 92 5
17 194 5
17 364 7
17 511 5
17 564 6
17 590 3
17 601 4
18 63 2
18 136 4
18 141 3
18 232 6
18 272 6
18 289 5
18 291 5
18 334 4
18 347 7
18 403 6
18 611 5
18 700 1
18 732 6
19 57 4
19 234 4
19 236 7
19 287 4
19 321 3
19 328 2
19 335 8
19 356 5
19 368 7
19 399 7
19 423 2
19 435 6
19 610 7
20 8 4
20 10 2
20 36 4
20 43 7
20 69 8
20 72 4
20 90 4
20 134 6
20 190 3
20 203 7
20 255 6
20 325 7
20 331 6
20 344 2
20 346 4
20 400 7
20 422 5
20 450 6
20 459 7
20 466 3
20 479 9
20 486 3
20 489 10
20 511 7
20 522 3
20 561 2
20 568 6
20 580 6
20 596 6
20 606 7
20 679 6
20 730 2
20 740 8
20 746 6
20 768 6
20 769 4
21 40 3
21 113 2
21 126 9
21 132 6
21 163 4
21 431 5
21 482 6
21 524 3
21 541 4
21 664 5
21 669 5
22 214 4
22 231 4
22 318 7
22 324 8
22 325 8
22 356 6
22 397 5
22 466 4
22 571 5
22 581 3
22 639 1
22 675 2
22 683 5
23 15 5
23 84 3
23 145 7
23 157 3
23 160 8
23 178 4
23 219 3
23 234 6
23 281 2
23 329 5
23 339 4
23 436 6
23 486 3
23 514 7
23 563 6
23 571 5
23 611 5
23 641 3
23 670 5
23 682 10
23 709 2
23 758 5
23 784 2
24 89 6
24 108 4
24 144 4
24 171 6
24 181 7
24 222 1
24 229 3
24 298 3
24 312 5
24 323 7
24 324 7
24 342 4
24 375 10
24 526 9
24 527 6
24 571 6
24 613 4
24 625 7
24 649 8
24 662 1
24 671 6
24 704 7
24 732 5
24 736 7
24 782 5
24 789 7
24 790 3
24 792 3
25 27 4
25 46 6
25 118 10
25 119 3
25 141 4
25 143 3
25 173 4
25 255 6
25 274 6
25 293 6
25 398 6
25 407 2
25 418 4
25 442 7
25 471 6
25 507 7
25 511 7
25 522 5
25 523 1
25 529 6
25 545 5
25 581 4
25 594 5
25 618 9
25 623 2
25 630 8
25 631 4
25 655 4
25 682 9
25 753 6
25 772 4
26 0 6
26 9 4
26 48 7
26 88 6
26 140 3
26 156 3
26 158 3
26 197 10
26 206 7
26 212 9
26 220 7
26 241 4
26 291 3
26 328 3
26 339 2
26 341 8
26 348 3
26 360 5
26 466 2
26 472 6
26 473 2
26 479 7
26 573 6
26 580 6
26 603 5
26 672 6
26 684 5
26 697 7
26 701 7
26 764 6
27 29 4
27 48 8
27 119 3
27 142 7
27 177 5
27 189 7
27 206 8
27 219 2
27 229 1
27 247 7
27 277 5
27 307 6
27 317 5
27 327 8
27 331 6
27 365 5
27 476 4
27 499 3
27 532 6
27 606 9
27 621 3
27 626 1
27 641 5
27 684 3
27 695 6
27 738 7
27 742 5
27 762 3
27 775 8
27 786 4
28 8 3
28 75 5
28 80 7
28 101 8
28 106 9
28 126 9
28 141 5
28 151 3
28 200 5
28 201 7
28 234 4
28 310 4
28 340 2
28 360 3
28 369 7
28 408 5
28 432 7
28 484 4
28 487 8
28 498 4
28 503 5
28 602 3
28 605 5
28 614 6
28 635 5
28 655 2
28 725 1
28 728 5
28 746 7
28 784 4
29 37 7
29 183 8
29 189 8
29 311 4
29 437 6
30 134 6
30 158 4
30 161 7
30 197 9
30 284 5
30 578 6
30 771 5
31 11 5
31 13 6
31 138 5
31 189 9
31 278 3
31 282 2
31 344 3
31 353 9
31 369 5
31 423 2
31 472 7
31 636 8
31 711 6
32 60 2
32 83 7
32 96 4
32 119 2
32 140 4
32 180 5
32 197 10
32 211 2
32 212 9
32 220 7
32 478 6
32 497 7
32 535 4
32 536 7
32 553 3
32 577 7
32 584 4
32 615 5
32 693 4
32 774 5
33 75 5
33 82 6
33 87 9
33 99 3
33 125 3
33 141 5
33 147 3
33 153 4
33 181 8
33 198 4
33 201 6
33 249 0
33 262 6
33 263 7
33 264 8
33 280 4
33 348 1
33 349 4
33 352 4
33 396 3
33 410 6
33 432 8
33 445 4
33 463 4
33 487 9
33 494 8
33 505 5
33 535 3
33 540 7
33 548 4
33 560 5
33 581 3
33 583 2
33 585 3
33 643 7
33 645 4
33 656 6
33 667 3
33 686 0
33 798 8
34 64 4
34 78 6
34 86 4
34 120 2
34 132 6
34 153 3
34 229 1
34 259 8
34 288 6
34 337 4
34 381 1
34 382 4
34 427 6
34 455 6
34 462 5
34 517 5
34 543 7
34 601 6
34 621 2
34 660 3
34 667 3
34 730 0
34 757 2
34 759 4
35 59 3
35 99 4
35 135 6
35 165 5
35 235 4
35 252 3
35 373 6
35 374 3
35 415 6
35 437 4
35 515 4
36 38 2
36 62 3
36 106 7
36 155 5
36 162 5
36 184 10
36 187 8
36 194 5
36 198 5
36 216 6
36 217 5
36 318 6
36 328 1
36 330 2
36 336 2
36 341 7
36 393 3
36 420 5
36 426 6
36 443 6
36 447 5
36 479 7
36 483 7
36 513 9
36 568 8
36 574 3
36 705 0
36 713 4
36 719 0
36 731 5
36 757 2
36 797 8
37 17 6
37 22 9
37 68 5
37 85 8
37 339 3
37 400 7
37 527 6
37 541 5
37 632 10
37 658 9
37 797 7
38 31 4
38 74 6
38 105 3
38 134 4
38 170 2
38 218 4
38 229 3
38 265 6
38 312 3
38 378 6
38 426 6
38 430 4
38 472 6
38 474 4
38 509 9
38 599 10
38 661 4
38 680 7
38 687 10
38 688 8
38 692 4
38 704 8
38 756 6
39 49 5
39 457 3
39 530 3
39 700 2
39 773 3
40 19 4
40 75 5
40 164 10
40 210 1
40 237 4
40 351 7
40 407 2
40 607 6
40 624 6
40 724 4
40 729 3
40 737 6
41 4 4
41 47 8
41 109 7
41 124 3
41 156 5
41 168 0
41 190 5
41 233 6
41 251 9
41 263 6
41 274 6
41 277 6
41 319 8
41 322 6
41 443 6
41 445 3
41 456 1
41 475 5
41 492 3
41 511 5
41 522 5
41 542 6
41 570 2
41 576 4
41 606 7
41 612 5
41 647 3
41 684 5
41 690 7
41 699 3
41 741 6
41 749 8
41 757 1
41 777 5
41 786 5
41 793 5
42 12 8
42 45 10
42 99 3
42 126 9
42 139 7
42 173 5
42 216 4
42 224 3
42 229 2
42 236 7
42 254 1
42 257 7
42 283 6
42 312 5
42 314 5
42 325 6
42 349 4
42 352 5
42 367 3
42 460 8
42 512 7
42 583 2
42 659 6
42 665 1
42 667 2
42 681 7
42 688 6
42 718 8
42 742 3
42 760 3
42 763 7
42 780 3
42 789 7
43 23 5
43 50 3
43 64 6
43 66 3
43 118 10
43 137 6
43 138 5
43 165 7
43 242 6
43 248 5
43 296 4
43 314 6
43 319 6
43 335 9
43 364 6
43 426 5
43 509 7
43 527 6
43 533 5
43 558 6
43 560 5
43 567 4
43 691 7
43 709 4
43 762 4
44 18 1
44 76 9
44 147 3
44 159 4
44 211 3
44 222 1
44 364 5
44 424 8
44 432 8
44 586 3
44 601 6
44 638 6
44 694 7
44 735 7
45 16 7
45 35 6
45 69 7
45 77 6
45 79 5
45 100 6
45 141 3
45 153 3
45 169 4
45 182 5
45 190 5
45 201 7
45 309 3
45 315 0
45 355 2
45 386 8
45 444 2
45 459 6
45 485 5
45 510 2
45 514 6
45 582 5
45 596 7
45 637 4
45 706 2
46 14 9
46 84 4
46 102 6
46 110 7
46 258 5
46 279 5
46 305 8
46 340 3
46 345 2
46 444 2
46 519 7
46 549 7
46 567 3
46 632 10
46 673 3
46 759 6
46 768 5
46 785 7
47 95 4
47 115 7
47 214 2
47 267 5
47 380 4
47 727 4
47 749 8
