Seed: 3669075649
Researcher: 100
Papers: 1800
Edges: 4668
RDensity: None
minScore: 0
maxScore: 10
maxResearcherForPaper: None
maxPaperForResearcher: None
ToAssign: 250
0 6 5
0 212 2
0 343 6
0 436 0
0 490 6
0 494 8
0 554 6
0 556 4
0 577 7
0 668 6
0 863 3
0 904 2
0 940 8
0 1048 4
0 1057 5
0 1110 4
0 1132 3
0 1155 4
0 1260 5
0 1321 4
0 1339 3
0 1455 8
0 1460 9
0 1531 3
0 1767 10
0 1777 5
1 108 6
1 279 7
1 333 3
1 555 6
1 566 4
1 602 6
1 756 4
1 863 4
1 971 3
1 1031 3
1 1035 6
1 1083 3
1 1149 7
1 1473 3
1 1738 3
2 50 5
2 53 4
2 71 7
2 91 7
2 98 5
2 192 10
2 217 2
2 234 1
2 241 3
2 257 4
2 261 5
2 278 7
2 290 3
2 294 4
2 311 5
2 312 5
2 333 3
2 339 5
2 340 3
2 369 6
2 376 5
2 397 2
2 410 7
2 418 4
2 423 4
2 425 7
2 427 9
2 436 1
2 447 2
2 464 6
2 467 6
2 514 8
2 522 5
2 534 1
2 563 4
2 575 5
2 615 7
2 647 5
2 733 4
2 769 4
2 808 2
2 818 3
2 826 4
2 830 9
2 833 5
2 876 4
2 879 5
2 891 7
2 901 6
2 920 7
2 955 5
2 960 8
2 963 5
2 980 3
2 989 7
2 1001 5
2 1025 5
2 1040 4
2 1047 7
2 1071 6
2 1076 7
2 1143 7
2 1175 9
2 1186 4
2 1214 1
2 1217 4
2 1220 4
2 1317 7
2 1342 1
2 1365 4
2 1381 3
2 1384 7
2 1398 2
2 1400 8
2 1488 2
2 1496 5
2 1506 4
2 1532 7
2 1538 2
2 1585 6
2 1611 9
2 1622 5
2 1663 5
2 1699 4
2 1700 7
2 1731 5
2 1759 3
3 47 3
3 48 6
3 65 5
3 95 7
3 126 4
3 167 7
3 168 4
3 190 9
3 258 3
3 273 5
3 295 6
3 337 4
3 339 5
3 400 4
3 423 3
3 431 5
3 481 7
3 531 6
3 639 3
3 651 4
3 655 4
3 742 3
3 761 5
3 854 5
3 918 4
3 972 5
3 1012 1
3 1102 8
3 1137 6
3 1151 3
3 1176 5
3 1267 7
3 1334 6
3 1341 2
3 1368 4
3 1404 4
3 1445 5
3 1538 2
3 1546 6
3 1549 4
3 1571 1
3 1586 7
3 1616 5
3 1627 8
3 1674 5
3 1756 6
3 1779 2
4 43 3
4 88 7
4 136 4
4 292 2
4 380 6
4 548 6
4 603 4
4 621 2
4 681 6
4 722 3
4 769 4
4 1076 7
4 1361 5
4 1548 5
4 1585 7
4 1669 10
4 1726 7
4 1759 5
4 1794 3
5 57 7
5 61 3
5 72 5
5 100 5
5 177 9
5 182 4
5 191 2
5 201 4
5 213 5
5 228 3
5 243 6
5 245 4
5 254 5
5 255 2
5 285 5
5 296 5
5 358 7
5 361 5
5 372 4
5 404 2
5 417 2
5 420 1
5 424 7
5 438 8
5 461 3
5 470 3
5 473 3
5 474 2
5 500 7
5 552 3
5 614 2
5 619 9
5 624 2
5 720 5
5 726 6
5 747 7
5 780 5
5 833 6
5 860 6
5 882 6
5 891 6
5 917 6
5 945 5
5 951 6
5 989 7
5 991 5
5 995 3
5 1013 5
5 1017 8
5 1041 0
5 1045 3
5 1058 6
5 1164 6
5 1183 7
5 1188 2
5 1216 5
5 1295 4
5 1330 4
5 1333 6
5 1337 7
5 1350 4
5 1351 5
5 1389 4
5 1396 8
5 1431 4
5 1487 4
5 1500 5
5 1511 6
5 1541 7
5 1542 5
5 1543 5
5 1659 2
5 1667 5
5 1683 8
5 1684 3
5 1713 6
5 1715 9
5 1730 7
5 1772 5
5 1789 6
5 1793 1
6 106 5
6 122 4
6 187 2
6 226 5
6 256 2
6 378 5
6 380 6
6 395 8
6 432 4
6 436 0
6 486 7
6 547 8
6 551 7
6 738 7
6 763 2
6 790 7
6 791 5
6 800 8
6 804 7
6 817 5
6 997 5
6 998 3
6 1054 4
6 1055 2
6 1057 4
6 1090 6
6 1214 3
6 1216 5
6 1271 2
6 1277 6
6 1389 3
6 1419 1
6 1454 1
6 1466 5
6 1584 7
6 1682 6
6 1684 3
6 1701 3
6 1714 3
6 1757 7
7 209 5
7 224 2
7 273 6
7 353 4
7 441 1
7 645 5
7 1002 8
7 1038 1
7 1108 3
7 1129 10
7 1172 7
7 1187 1
7 1727 1
7 1780 10
8 1 3
8 30 4
8 33 7
8 48 7
8 66 5
8 80 7
8 107 3
8 114 3
8 195 8
8 201 4
8 208 6
8 216 7
8 229 0
8 252 7
8 263 3
8 265 0
8 297 5
8 336 8
8 350 5
8 368 7
8 394 5
8 421 10
8 423 5
8 432 3
8 455 3
8 480 3
8 512 9
8 514 7
8 539 6
8 544 2
8 562 4
8 571 5
8 636 6
8 666 6
8 672 2
8 686 6
8 766 6
8 767 4
8 787 3
8 838 4
8 861 4
8 874 4
8 906 4
8 921 6
8 923 5
8 928 8
8 957 4
8 966 6
8 978 5
8 1169 7
8 1232 7
8 1238 2
8 1243 6
8 1248 5
8 1271 4
8 1282 6
8 1324 3
8 1332 7
8 1347 10
8 1359 5
8 1383 4
8 1385 2
8 1395 5
8 1442 6
8 1456 4
8 1467 8
8 1492 3
8 1513 7
8 1514 5
8 1563 7
8 1564 6
8 1598 5
8 1599 6
8 1610 6
8 1653 1
8 1657 10
8 1663 5
8 1666 8
8 1680 3
8 1701 4
8 1706 5
8 1760 5
8 1797 3
9 17 7
9 46 10
9 85 7
9 102 3
9 104 3
9 120 6
9 121 4
9 162 7
9 207 4
9 216 5
9 257 4
9 384 3
9 420 2
9 421 10
9 435 9
9 436 0
9 497 3
9 516 8
9 523 6
9 548 4
9 550 6
9 552 5
9 561 5
9 570 4
9 607 6
9 614 2
9 632 6
9 650 5
9 654 10
9 665 8
9 698 8
9 727 6
9 735 4
9 762 6
9 767 5
9 770 4
9 796 4
9 814 7
9 839 4
9 844 5
9 875 5
9 898 1
9 934 6
9 941 7
9 975 8
9 993 1
9 1028 6
9 1051 6
9 1062 6
9 1122 7
9 1163 6
9 1192 1
9 1231 7
9 1235 5
9 1252 4
9 1280 7
9 1293 7
9 1295 6
9 1363 5
9 1379 6
9 1417 5
9 1441 6
9 1489 4
9 1490 7
9 1491 5
9 1536 6
9 1551 4
9 1634 5
9 1636 6
9 1639 6
9 1724 6
9 1730 6
9 1733 2
9 1735 7
9 1736 6
9 1753 5
9 1783 8
10 13 10
10 28 4
10 42 4
10 58 3
10 154 8
10 312 4
10 340 3
10 540 4
10 543 6
10 576 7
10 610 1
10 649 4
10 650 4
10 659 5
10 724 6
10 754 2
10 766 8
10 783 4
10 819 1
10 830 8
10 850 2
10 858 10
10 938 2
10 984 7
10 989 6
10 1029 4
10 1085 5
10 1107 7
10 1109 5
10 1127 5
10 1133 10
10 1138 1
10 1271 4
10 1319 5
10 1389 4
10 1571 3
10 1589 5
10 1667 6
10 1700 6
10 1710 4
10 1798 2
11 2 4
11 164 6
11 167 5
11 245 5
11 295 4
11 323 6
11 414 7
11 457 5
11 470 4
11 473 5
11 596 2
11 652 6
11 870 3
11 965 3
11 1030 5
11 1079 0
11 1091 6
11 1104 2
11 1138 1
11 1237 6
11 1245 8
11 1293 5
11 1300 4
11 1336 3
11 1373 3
11 1431 5
11 1436 8
11 1460 9
11 1486 4
11 1541 7
11 1597 7
11 1608 2
11 1631 3
11 1681 8
11 1732 7
11 1751 2
12 28 6
12 36 4
12 94 4
12 144 7
12 186 5
12 188 4
12 229 0
12 239 2
12 241 3
12 262 6
12 346 10
12 360 5
12 469 6
12 550 5
12 574 6
12 634 5
12 702 7
12 722 4
12 806 6
12 856 5
12 861 5
12 872 8
12 875 5
12 973 5
12 1050 5
12 1057 4
12 1082 2
12 1158 6
12 1175 9
12 1205 4
12 1222 8
12 1287 7
12 1323 10
12 1331 6
12 1343 6
12 1348 4
12 1362 7
12 1415 8
12 1424 5
12 1447 7
12 1460 7
12 1494 5
12 1516 7
12 1523 2
12 1544 4
12 1569 3
12 1610 5
12 1665 8
12 1674 5
12 1701 2
12 1703 5
12 1728 4
12 1767 9
12 1771 4
13 73 3
13 142 2
13 148 10
13 181 5
13 267 4
13 276 5
13 341 8
13 346 8
13 408 7
13 410 7
13 428 2
13 434 4
13 440 5
13 499 4
13 541 5
13 602 8
13 662 5
13 733 3
13 774 7
13 1020 4
13 1071 8
13 1165 3
13 1194 7
13 1213 8
13 1273 4
13 1370 6
13 1375 3
13 1395 4
13 1451 4
13 1485 4
13 1615 5
13 1626 4
13 1701 4
13 1723 7
13 1762 5
14 66 5
14 141 6
14 224 1
14 277 8
14 625 2
14 793 5
14 1065 8
14 1102 7
14 1167 6
14 1295 4
14 1358 5
14 1386 3
14 1461 4
14 1592 9
14 1674 6
15 82 5
15 219 8
15 280 6
15 288 6
15 308 5
15 324 4
15 348 5
15 528 5
15 554 4
15 595 5
15 629 1
15 683 5
15 706 7
15 713 6
15 819 3
15 933 4
15 983 6
15 1036 7
15 1132 4
15 1219 4
15 1308 10
15 1350 5
15 1436 8
15 1446 1
15 1479 1
15 1517 4
15 1557 5
15 1583 6
15 1646 9
15 1672 5
15 1683 8
