Seed: 4153931614
Researcher: 140
Papers: 1960
Edges: 7052
RDensity: None
minScore: 0
maxScore: 10
maxResearcherForPaper: None
maxPaperForResearcher: None
ToAssign: 350
0 5 4
0 11 3
0 24 1
0 25 8
0 27 4
0 30 5
0 90 7
0 118 7
0 141 1
0 197 7
0 202 7
0 231 2
0 247 7
0 323 4
0 338 6
0 354 5
0 373 5
0 381 5
0 451 3
0 471 9
0 504 7
0 539 7
0 552 6
0 564 5
0 576 1
0 600 4
0 628 8
0 655 5
0 666 5
0 675 1
0 681 6
0 702 1
0 732 4
0 751 4
0 771 8
0 787 3
0 794 1
0 800 8
0 819 4
0 845 3
0 858 5
0 863 7
0 967 4
0 999 3
0 1008 3
0 1055 3
0 1087 10
0 1158 4
0 1174 5
0 1249 4
0 1274 1
0 1299 3
0 1322 10
0 1334 4
0 1344 4
0 1369 5
0 1372 6
0 1391 5
0 1399 4
0 1402 8
0 1403 8
0 1426 4
0 1432 7
0 1434 3
0 1448 8
0 1454 4
0 1483 6
0 1505 5
0 1531 10
0 1546 0
0 1574 4
0 1599 10
0 1610 5
0 1666 2
0 1687 6
0 1712 10
0 1725 3
0 1732 4
0 1733 5
0 1734 1
0 1781 5
0 1817 7
0 1819 4
0 1866 5
0 1922 8
1 71 7
1 105 7
1 154 3
1 166 8
1 195 7
1 331 7
1 340 2
1 393 8
1 396 4
1 525 6
1 537 8
1 585 4
1 692 7
1 697 10
1 704 6
1 727 3
1 740 9
1 751 6
1 775 7
1 784 5
1 861 4
1 874 4
1 887 9
1 890 4
1 905 5
1 923 5
1 924 6
1 934 7
1 955 6
1 1019 7
1 1025 6
1 1027 7
1 1046 6
1 1052 5
1 1065 8
1 1082 2
1 1088 5
1 1090 4
1 1098 8
1 1106 5
1 1119 9
1 1131 4
1 1149 2
1 1171 8
1 1195 7
1 1197 2
1 1215 10
1 1236 7
1 1252 4
1 1257 4
1 1293 3
1 1333 4
1 1338 8
1 1360 4
1 1449 6
1 1487 4
1 1552 6
1 1580 5
1 1603 8
1 1610 7
1 1615 5
1 1629 6
1 1644 2
1 1678 5
1 1689 4
1 1702 6
1 1716 5
1 1785 4
1 1855 7
1 1871 5
1 1892 4
1 1894 3
1 1921 7
1 1923 7
1 1927 6
1 1929 0
1 1955 3
2 15 4
2 98 5
2 117 6
2 120 6
2 124 4
2 164 2
2 173 4
2 218 2
2 249 4
2 304 1
2 309 3
2 431 7
2 456 3
2 646 6
2 655 3
2 673 6
2 698 6
2 702 1
2 711 4
2 741 9
2 742 4
2 780 6
2 796 6
2 807 8
2 871 6
2 872 1
2 980 4
2 985 3
2 1057 3
2 1071 3
2 1093 4
2 1187 10
2 1200 4
2 1222 6
2 1269 8
2 1380 6
2 1424 8
2 1456 5
2 1484 3
2 1493 7
2 1532 8
2 1707 2
2 1876 9
3 5 6
3 96 7
3 118 7
3 122 0
3 139 3
3 142 4
