Seed: 2545410169
Researcher: 100
Papers: 600
Edges: 1615
RDensity: None
minScore: 0
maxScore: 10
maxResearcherForPaper: None
maxPaperForResearcher: None
ToAssign: 250
0 296 7
0 556 5
1 83 5
1 134 8
1 135 3
1 155 1
1 199 7
1 218 5
1 235 6
1 245 3
1 260 6
1 266 3
1 325 9
1 353 8
1 359 4
1 370 2
1 431 5
1 434 4
1 456 2
1 476 7
1 511 5
1 530 8
1 557 4
1 573 7
1 580 6
1 584 7
2 0 6
2 5 4
2 12 4
2 14 2
2 21 4
2 23 5
2 44 3
2 62 6
2 80 4
2 88 7
2 93 6
2 168 3
2 211 6
2 293 3
2 347 8
2 350 3
2 352 7
2 368 7
2 438 3
2 440 5
2 462 8
2 486 3
2 489 3
2 490 8
2 522 7
2 563 9
2 580 5
2 583 4
3 34 7
3 43 0
3 47 2
3 103 8
3 137 2
3 143 6
3 148 9
3 159 5
3 163 8
3 222 3
3 263 3
3 265 7
3 378 5
3 422 5
3 434 4
3 444 5
3 455 5
3 500 2
4 29 7
4 39 5
4 50 5
4 76 5
4 102 7
4 107 6
4 133 5
4 142 5
4 151 5
4 167 7
4 190 5
4 207 6
4 258 4
4 288 5
4 291 4
4 340 3
4 344 7
4 366 6
4 412 3
4 425 5
4 468 6
4 534 6
4 556 6
4 557 5
4 559 0
5 46 4
5 62 7
5 68 6
5 93 4
5 110 5
5 130 4
5 177 4
5 242 3
5 250 4
5 252 9
5 267 5
5 293 3
5 453 5
5 470 8
5 476 8
5 573 5
6 22 2
6 29 5
6 55 8
6 68 8
6 155 2
6 156 5
6 160 10
6 167 6
6 168 3
6 195 5
6 233 8
6 236 8
6 257 6
6 265 8
6 291 6
6 349 5
6 457 5
6 542 4
6 546 7
6 576 3
6 597 0
7 60 4
7 63 2
7 238 5
7 264 5
7 323 4
7 566 7
7 594 5
8 0 6
8 10 4
8 71 7
8 127 5
8 176 6
8 186 1
8 194 8
8 246 6
8 282 8
8 412 4
8 434 5
8 449 4
8 503 6
8 509 5
8 565 5
8 582 3
8 589 5
9 44 3
9 83 6
9 92 4
9 128 3
9 144 6
9 188 7
9 198 4
9 221 9
9 233 6
9 353 6
9 369 3
9 383 5
9 506 4
9 549 8
10 17 6
10 23 7
10 52 4
10 84 6
10 97 8
10 110 4
10 126 4
10 205 6
10 218 4
10 276 5
10 325 8
10 328 4
10 351 5
10 358 6
10 372 7
10 393 2
10 423 3
10 436 3
10 515 8
10 551 2
11 16 2
11 135 4
11 148 8
11 161 7
11 170 8
11 184 5
11 247 4
11 293 3
11 338 4
11 361 6
11 363 3
11 377 5
11 384 2
11 418 7
11 424 0
11 510 7
11 542 5
12 55 6
12 111 7
12 118 1
12 119 6
12 212 4
12 276 6
12 307 0
12 322 7
12 328 3
12 330 4
12 397 5
12 458 3
12 500 2
12 518 6
12 549 7
13 8 0
13 15 5
13 61 4
13 131 7
13 151 5
13 153 6
13 269 6
13 281 10
13 291 6
13 312 3
13 348 4
13 364 6
13 379 7
13 395 2
13 396 3
13 400 4
13 401 1
13 402 5
13 433 3
13 448 3
13 483 6
13 490 6
13 532 7
13 546 6
13 574 7
13 583 2
14 45 3
14 210 3
14 221 8
14 232 3
14 404 4
14 484 4
15 36 4
15 44 2
15 56 8
15 70 1
15 71 8
15 102 5
15 103 7
15 140 6
15 153 6
