Seed: 2210164135
Researcher: 60
Papers: 1080
Edges: 1930
RDensity: None
minScore: 0
maxScore: 10
maxResearcherForPaper: None
maxPaperForResearcher: None
ToAssign: 150
0 1 4
0 13 2
0 20 4
0 43 7
0 97 6
0 99 8
0 125 5
0 134 6
0 136 5
0 173 9
0 201 3
0 218 4
0 230 7
0 247 9
0 283 1
0 290 5
0 324 5
0 327 4
0 330 7
0 334 4
0 339 6
0 348 6
0 349 8
0 352 2
0 368 7
0 393 7
0 456 6
0 475 5
0 499 3
0 517 4
0 539 6
0 559 4
0 584 4
0 619 9
0 628 6
0 637 5
0 678 4
0 758 5
0 766 4
0 773 2
0 785 7
0 843 5
0 866 7
0 867 2
0 898 0
0 908 8
0 960 2
0 966 4
0 973 7
0 976 5
0 985 5
0 1007 7
0 1023 5
0 1064 0
1 7 2
1 54 1
1 60 3
1 115 5
1 183 7
1 184 6
1 210 9
1 217 4
1 228 0
1 253 5
1 270 6
1 272 4
1 276 6
1 316 6
1 346 8
1 367 4
1 371 0
1 404 10
1 409 6
1 415 5
1 515 7
1 535 8
1 706 5
1 718 8
1 782 4
1 799 5
1 850 7
1 866 7
1 874 6
1 928 3
1 979 4
1 1003 3
2 4 4
2 17 6
2 26 2
2 56 3
2 78 4
2 79 6
2 120 6
2 165 3
2 193 6
2 216 5
2 239 5
2 247 9
2 272 5
2 288 5
2 291 5
2 300 4
2 310 7
2 323 7
2 335 5
2 336 7
2 430 4
2 475 3
2 500 5
2 526 3
2 595 6
2 611 7
2 614 7
2 632 0
2 653 7
2 657 0
2 674 4
2 735 6
2 738 4
2 792 4
2 848 1
2 861 5
2 879 5
2 881 3
2 882 4
2 883 7
2 897 6
2 904 4
2 915 6
2 929 9
2 948 5
2 984 0
2 990 3
2 992 4
2 1006 4
2 1036 3
2 1054 3
2 1057 3
2 1066 3
2 1071 8
3 18 8
3 35 3
3 50 4
3 67 3
3 82 5
3 94 5
3 111 4
3 126 3
3 129 3
3 158 10
3 167 4
3 182 2
3 199 2
3 205 6
3 266 5
3 267 5
3 273 3
3 291 5
3 314 5
3 359 2
3 367 5
3 369 8
3 387 7
3 450 5
3 451 2
3 492 10
3 521 8
3 524 0
3 526 3
3 627 7
3 641 3
3 662 7
3 710 4
3 736 1
3 737 7
3 746 6
3 755 8
3 762 5
3 784 7
3 791 6
3 809 7
3 832 7
3 836 3
3 863 6
3 916 5
3 920 5
3 946 7
3 953 4
4 478 5
4 588 0
4 743 4
4 1063 4
5 22 7
5 25 3
5 31 5
5 40 7
5 53 3
5 57 7
5 82 5
5 118 3
5 129 4
5 139 8
5 157 6
5 176 6
5 195 4
5 222 6
5 236 6
5 284 3
5 301 0
5 338 9
5 352 1
5 356 6
5 374 5
5 392 3
5 394 4
5 428 5
5 441 2
5 454 8
5 461 6
5 476 6
5 480 8
5 502 2
5 536 7
5 542 2
5 618 8
5 654 6
5 703 4
5 717 2
5 738 3
5 747 3
5 788 5
5 805 5
5 810 6
5 821 6
5 825 7
5 846 3
5 872 10
5 949 7
5 977 1
5 982 3
5 992 6
5 1018 5
5 1046 0
5 1053 4
5 1067 3
6 141 6
6 164 5
6 212 3
6 411 7
6 504 5
6 869 4
6 943 6
6 967 5
7 216 3
7 405 3
7 542 3
7 643 5
7 722 6
7 754 6
7 875 2
7 981 5
7 1013 6
7 1022 7
8 36 6
8 99 8
8 105 4
8 138 6
8 143 4
8 150 4
8 151 6
8 152 5
8 175 4
8 176 7
8 187 2
8 203 2
8 213 7
8 232 8
8 244 6
8 251 1
8 306 3
8 317 9
8 329 2
8 332 4
8 344 5
8 349 6
8 353 5
8 368 9
8 393 7
8 406 4
8 421 5
8 440 6
8 451 2
8 464 5
8 475 3
8 493 1
8 538 7
8 551 2
8 584 4
8 591 8
8 597 5
8 603 2
8 650 2
8 667 5
8 694 5
8 699 1
8 729 2
8 732 5
8 751 6
8 776 6
8 796 9
8 834 5
8 918 7
8 925 2
8 944 7
8 951 2
8 989 5
8 1043 6
9 14 5
9 33 5
9 38 5
9 58 6
9 71 2
9 77 5
9 110 7
9 116 0
9 132 9
9 138 6
9 171 3
9 176 8
9 188 5
9 273 4
9 283 2
9 290 3
9 305 6
9 310 9
9 340 0
9 413 6
9 442 7
9 444 5
9 465 3
9 613 7
9 704 5
9 742 5
9 783 7
9 800 4
9 862 4
9 880 3
9 884 6
9 940 3
9 1045 6
9 1076 6
9 1078 6
10 152 5
10 171 5
10 181 3
10 186 5
10 198 4
10 333 8
10 363 2
10 388 6
10 392 4
10 415 3
10 426 4
10 466 4
10 500 5
10 523 4
10 533 3
10 535 8
10 537 0
10 598 6
10 668 5
10 711 9
10 720 3
10 738 4
10 749 9
10 755 9
10 806 4
10 807 6
10 812 8
10 872 10
10 895 5
10 940 4
10 1002 3
10 1016 5
10 1031 5
10 1047 3
10 1054 3
11 8 8
11 12 3
11 50 2
11 65 8
11 80 6
11 102 2
11 140 9
11 252 4
11 254 6
11 264 2
11 354 2
11 403 3
11 407 2
11 419 1
11 449 2
11 524 2
11 567 7
11 601 3
11 614 5
11 634 6
11 642 3
11 675 4
11 691 10
11 717 1
11 766 6
11 824 2
11 868 4
11 877 5
11 926 5
11 955 5
11 958 4
11 986 7
11 1004 6
11 1025 3
11 1026 8
11 1032 9
11 1043 7
